pos_x, pos_y, pos_z, pos_yaw, time
-31.791576,-4.778456,1.234655,-0.819024,16.539388
-31.674301,-4.893134,1.234646,-0.807873,16.555420
-31.674301,-4.893134,1.234646,-0.796687,16.571242
-31.555960,-5.006411,1.234653,-0.796687,16.586260
-31.437298,-5.119217,1.234684,-0.786385,16.603288
-31.318851,-5.232193,1.234745,-0.777623,16.617800
-31.200848,-5.345577,1.234835,-0.770622,16.634388
-31.083311,-5.459377,1.234950,-0.765323,16.648899
-30.966135,-5.573461,1.235082,-0.761483,16.665483
-30.849121,-5.687604,1.235220,-0.758739,16.679996
-30.732094,-5.801608,1.235355,-0.756746,16.695923
-30.614977,-5.915382,1.235481,-0.755277,16.710969
-30.497740,-6.028892,1.235594,-0.754179,16.726523
-30.380381,-6.142132,1.235689,-0.753349,16.741608
-30.262909,-6.255111,1.235765,-0.752715,16.757662
-30.145338,-6.367844,1.235821,-0.752228,16.772529
-30.145338,-6.367844,1.235821,-0.751853,16.789039
-30.027681,-6.480346,1.235856,-0.751853,16.804092
-29.909832,-6.592742,1.235871,-0.751565,16.819235
-29.792013,-6.704800,1.235868,-0.751319,16.834288
-29.674055,-6.816574,1.235847,-0.751033,16.848802
-29.555878,-6.927975,1.235812,-0.750597,16.864403
-29.437382,-7.038893,1.235765,-0.749885,16.880276
-29.318449,-7.149195,1.235708,-0.748760,16.895432
-29.198956,-7.258727,1.235646,-0.747074,16.911024
-29.078119,-7.367885,1.235581,-0.744657,16.927232
-28.957081,-7.475318,1.235516,-0.741383,16.942149
-28.835062,-7.581398,1.235455,-0.737093,16.957942
-28.712027,-7.686035,1.235398,-0.731785,16.973702
-28.587917,-7.789107,1.235347,-0.725441,16.989209
-28.587917,-7.789107,1.235347,-0.718033,17.005528
-28.462669,-7.890455,1.235301,-0.718033,17.020053
-28.336388,-7.990200,1.235260,-0.709761,17.036527
-28.209064,-8.088473,1.235222,-0.700791,17.051237
-28.080904,-8.185200,1.235187,-0.691276,17.068256
-27.951868,-8.280462,1.235153,-0.681328,17.083302
-27.821978,-8.374274,1.235120,-0.671045,17.097830
